File Name: blom.rle, No. Iterations: 1000,,,
Grid size,Name,Global Time (ms),Times per 10 Iterations,Memory Usage before and after (MB)
512,Naive,47969,"[435, 441, 439, 440, 445, 443, 436, 444, 440, 439, 445, 447, 461, 449, 441, 427, 443, 439, 435, 434, 443, 447, 437, 440, 443, 434, 447, 445, 440, 444, 439, 451, 434, 435, 489, 463, 518, 496, 478, 488, 485, 495, 509, 498, 498, 502, 594, 478, 505, 487, 524, 462, 463, 453, 462, 465, 481, 480, 518, 515, 506, 520, 486, 512, 523, 527, 467, 492, 481, 492, 481, 463, 486, 470, 493, 472, 480, 479, 490, 483, 476, 475, 476, 466, 500, 510, 552, 508, 518, 562, 522, 579, 500, 540, 541, 470, 542, 506, 521, 545]","[421612, 421424]"
512,Sparse,1243,"[0, 1, 1, 2, 3, 2, 3, 3, 3, 2, 2, 4, 2, 3, 2, 3, 3, 4, 3, 5, 6, 6, 6, 5, 5, 4, 3, 3, 3, 4, 3, 3, 4, 5, 4, 5, 6, 6, 7, 9, 9, 11, 11, 10, 11, 11, 14, 13, 13, 13, 11, 11, 12, 12, 13, 13, 14, 14, 14, 15, 15, 15, 18, 17, 15, 15, 16, 15, 17, 14, 14, 15, 14, 15, 13, 13, 13, 13, 14, 14, 15, 18, 20, 22, 23, 25, 23, 24, 23, 23, 23, 23, 26, 27, 28, 28, 33, 35, 33, 31]","[421696, 421816]"
512,Optimized,41271,"[405, 450, 423, 412, 475, 455, 449, 439, 425, 465, 403, 400, 393, 377, 381, 398, 443, 388, 446, 424, 399, 392, 426, 457, 423, 451, 447, 462, 431, 401, 384, 387, 404, 409, 422, 406, 421, 394, 412, 383, 397, 386, 385, 429, 426, 448, 416, 441, 421, 412, 427, 381, 401, 393, 397, 395, 382, 410, 434, 422, 412, 375, 411, 411, 376, 448, 430, 492, 469, 435, 383, 382, 436, 427, 399, 506, 416, 441, 384, 375, 420, 431, 415, 415, 404, 415, 379, 383, 393, 379, 372, 399, 398, 375, 383, 393, 382, 366, 371, 371]","[422004, 422836]"
512,TrackAliveCells,3350,"[31, 30, 30, 31, 29, 29, 31, 32, 31, 31, 32, 32, 31, 31, 32, 33, 33, 34, 34, 30, 29, 30, 32, 35, 32, 31, 31, 32, 32, 40, 29, 30, 30, 32, 35, 31, 33, 37, 37, 45, 31, 33, 33, 32, 36, 35, 35, 37, 37, 36, 36, 38, 35, 31, 30, 33, 32, 31, 30, 29, 30, 34, 33, 34, 36, 36, 42, 40, 41, 34, 31, 32, 32, 29, 30, 29, 30, 39, 31, 30, 31, 31, 32, 38, 33, 34, 28, 31, 31, 31, 36, 35, 34, 34, 33, 33, 37, 36, 34, 37]","[423004, 422624]"
512,Parallel,1471,"[32, 30, 23, 22, 17, 10, 10, 10, 15, 11, 7, 10, 8, 9, 9, 10, 11, 9, 10, 10, 10, 10, 9, 12, 9, 14, 12, 13, 17, 28, 21, 11, 11, 21, 12, 13, 11, 12, 12, 11, 13, 14, 19, 14, 15, 13, 11, 12, 15, 15, 15, 11, 14, 14, 11, 11, 13, 22, 12, 13, 12, 12, 13, 14, 14, 13, 13, 12, 13, 13, 12, 12, 17, 12, 12, 15, 13, 13, 11, 13, 18, 13, 17, 11, 15, 15, 13, 12, 16, 14, 22, 24, 22, 20, 20, 20, 15, 17, 22, 21]","[422784, 423612]"
512,HashParallel,7456,"[18, 29, 25, 46, 61, 33, 36, 51, 31, 30, 26, 26, 23, 21, 27, 31, 28, 33, 35, 41, 45, 39, 45, 40, 36, 34, 38, 35, 30, 30, 30, 31, 33, 34, 32, 41, 52, 81, 53, 58, 85, 103, 87, 84, 77, 68, 71, 83, 79, 72, 70, 81, 71, 84, 79, 72, 75, 79, 85, 77, 77, 83, 86, 89, 78, 77, 114, 112, 103, 88, 88, 97, 87, 84, 70, 88, 90, 80, 73, 82, 81, 91, 120, 126, 112, 129, 151, 150, 143, 134, 155, 131, 121, 140, 131, 134, 142, 135, 146, 138]","[423628, 426832]"
512,Bitwise,48748,"[564, 495, 497, 513, 521, 571, 526, 519, 498, 473, 530, 479, 502, 479, 496, 491, 476, 475, 463, 484, 493, 490, 483, 501, 483, 462, 516, 501, 482, 472, 447, 460, 456, 466, 466, 486, 474, 470, 474, 470, 472, 464, 483, 460, 472, 490, 481, 480, 483, 482, 470, 489, 480, 473, 454, 480, 488, 495, 489, 503, 509, 482, 487, 497, 472, 485, 486, 499, 485, 499, 500, 487, 477, 461, 454, 457, 480, 468, 482, 553, 469, 465, 469, 497, 489, 471, 528, 528, 507, 511, 553, 507, 519, 500, 472, 464, 462, 454, 460, 463]","[426844, 426760]"
512,Hashlife,67822,"[749, 575, 570, 589, 596, 619, 608, 588, 600, 589, 591, 606, 612, 622, 673, 659, 599, 666, 647, 732, 651, 634, 619, 635, 599, 609, 618, 631, 661, 660, 634, 650, 617, 609, 677, 657, 645, 771, 626, 601, 631, 601, 609, 622, 614, 657, 709, 672, 744, 624, 626, 610, 615, 632, 699, 753, 675, 662, 623, 633, 606, 638, 693, 638, 678, 661, 665, 654, 656, 677, 695, 660, 674, 677, 699, 647, 649, 721, 706, 750, 783, 759, 772, 758, 792, 783, 693, 699, 819, 742, 659, 710, 807, 1044, 853, 969, 954, 824, 792, 811]","[426776, 644692]"
