File Name: blom.rle, No. Iterations: 100,,,
Grid size,Name,Global Time (ms),Times per 10 Iterations,Memory Usage before and after (MB)
128,Naive,255,"[25, 25, 24, 26, 25, 25, 25, 25, 25, 25]","[396276, 396528]"
128,Sparse,20,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[396804, 397060]"
128,Optimized,203,"[19, 19, 19, 20, 22, 20, 20, 19, 20, 20]","[397160, 397372]"
128,TrackAliveCells,18,"[2, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[397468, 397528]"
128,Parallel,14,"[2, 0, 0, 0, 0, 0, 0, 0, 1, 3]","[397612, 397836]"
128,HashParallel,271,"[26, 30, 23, 25, 31, 26, 25, 30, 27, 21]","[397964, 398632]"
128,Bitwise,259,"[25, 26, 25, 25, 25, 25, 27, 25, 26, 26]","[398660, 398708]"
128,Hashlife,310,"[40, 28, 28, 39, 29, 28, 28, 29, 29, 28]","[398752, 411716]"
256,Naive,1050,"[103, 108, 105, 104, 102, 103, 103, 103, 108, 108]","[411744, 411756]"
256,Sparse,22,"[0, 1, 1, 2, 4, 2, 2, 2, 2, 1]","[411880, 411980]"
256,Optimized,827,"[78, 81, 80, 83, 83, 88, 84, 83, 80, 83]","[412076, 412080]"
256,TrackAliveCells,68,"[7, 6, 6, 7, 6, 6, 6, 6, 6, 7]","[412084, 412184]"
256,Parallel,172,"[24, 21, 18, 16, 18, 13, 17, 13, 14, 12]","[412184, 412200]"
256,HashParallel,313,"[23, 28, 27, 32, 33, 34, 34, 36, 34, 27]","[412216, 412472]"
256,Bitwise,1065,"[103, 104, 105, 109, 107, 108, 110, 106, 104, 105]","[412476, 412496]"
256,Hashlife,1441,"[168, 131, 128, 136, 133, 132, 132, 155, 178, 142]","[412496, 458016]"
512,Naive,4346,"[425, 427, 449, 440, 429, 431, 439, 430, 438, 433]","[458024, 458040]"
512,Sparse,21,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[458040, 458052]"
512,Optimized,3524,"[373, 340, 375, 343, 349, 345, 349, 345, 352, 347]","[458096, 458108]"
512,TrackAliveCells,294,"[28, 28, 28, 32, 29, 28, 28, 29, 30, 29]","[458124, 458152]"
512,Parallel,190,"[33, 28, 24, 23, 19, 16, 18, 12, 7, 7]","[458160, 458168]"
512,HashParallel,211,"[16, 19, 19, 19, 26, 22, 20, 24, 24, 17]","[458176, 458260]"
512,Bitwise,4490,"[449, 447, 449, 451, 450, 449, 452, 447, 453, 438]","[458272, 458292]"
512,Hashlife,5837,"[735, 564, 569, 555, 574, 553, 567, 570, 567, 578]","[458308, 640308]"
1024,Naive,18956,"[1847, 1934, 1851, 1781, 1818, 1863, 1935, 1924, 2056, 1943]","[602212, 602328]"
1024,Sparse,24,"[0, 1, 1, 2, 2, 3, 2, 2, 3, 2]","[602336, 602336]"
1024,Optimized,15193,"[1457, 1575, 1609, 1629, 1630, 1442, 1451, 1433, 1426, 1534]","[602344, 602944]"
1024,TrackAliveCells,1383,"[129, 138, 155, 144, 149, 144, 141, 128, 124, 126]","[602952, 602952]"
1024,Parallel,454,"[50, 38, 33, 49, 41, 44, 45, 43, 57, 48]","[602956, 602956]"
1024,HashParallel,213,"[11, 16, 20, 24, 26, 21, 23, 24, 23, 19]","[602956, 602992]"
1024,Bitwise,18749,"[1967, 1815, 1783, 1785, 1793, 1905, 1921, 2010, 1935, 1830]","[603004, 602428]"
1024,Hashlife,25260,"[3115, 2407, 2357, 2540, 2477, 2514, 2495, 2458, 2466, 2426]","[602440, 1368496]"
2048,Naive,80294,"[8541, 7482, 7469, 7416, 8132, 8501, 7692, 9229, 8235, 7593]","[1368640, 1368448]"
2048,Sparse,23,"[0, 1, 1, 2, 2, 2, 3, 2, 2, 2]","[1368456, 1368460]"
2048,Optimized,68565,"[6411, 7142, 7949, 8231, 6678, 7066, 6435, 6053, 6150, 6445]","[1368472, 1368556]"
2048,TrackAliveCells,5258,"[491, 537, 527, 521, 501, 502, 511, 519, 550, 596]","[1368560, 1368576]"
2048,Parallel,1765,"[159, 121, 130, 159, 178, 194, 201, 193, 219, 207]","[1368584, 1369168]"
2048,HashParallel,288,"[18, 21, 20, 26, 31, 31, 37, 36, 31, 31]","[1369172, 1369188]"
2048,Bitwise,82293,"[7916, 7921, 8493, 9075, 9515, 7809, 7464, 7692, 8069, 8336]","[1369188, 1368640]"
2048,Hashlife,107557,"[13200, 10899, 10080, 10692, 9963, 9857, 9927, 10593, 11175, 11167]","[1368640, 4280336]"
